timestamp,day_of_week,location,text_content,engagement_rate,keywords
2024-05-01 04:39:36,Wednesday,"Sydney, Australia",super excited with my new xbox elite controller from microsoft absolutely loving it lifestyle would love to get your feedback,0.28798,"['super', 'excite', 'absolutely']"
2024-05-01 19:37:14,Wednesday,"São Paulo, Brazil",just unboxed my new pepsi zero sugar from pepsi disappointed with the quality so happy innovation,0.02803,"['pepsi', 'zero', 'sugar']"
2024-05-02 02:16:23,Thursday,"Osaka, Japan",just saw an ad for samsung galaxy watch during the cybermonday wouldnt recommend exclusive really interested in hearing your thoughts,0.91608,"['samsung', 'galaxy', 'watch']"
2024-05-02 14:58:25,Thursday,"Berlin, Germany",attended the microsoft summerdreams event yesterday does the job limited tech really interested in hearing your thoughts,0.55718,"['microsoft', 'summerdream', 'event']"
2024-05-02 18:02:48,Thursday,"Vancouver, Canada",just tried the tundra from toyota wouldnt recommend food would love to get your feedback,0.09151,"['would', 'not', 'recommend', 'food']"
2024-05-02 21:25:54,Thursday,"Berlin, Germany",has anyone else experienced delivery delays with toyotas sienna exceeded my expectations productteam affordable limited health,0.3462,"['experience', 'delivery', 'delay']"
2024-05-02 21:44:47,Thursday,"Manchester, UK",toyota valentinesdeals is amazing cant wait to see whats coming next fitness really interested in hearing your thoughts,0.97993,"['toyota', 'valentinesdeal', 'come']"
2024-05-02 22:07:31,Thursday,"Johannesburg, South Africa",how do i fix about cocacolas cocacola cherry  productlaunch curious about your experience too,0.0999,"['cherry', 'productlaunch', 'curious']"
2024-05-03 00:38:26,Friday,"London, UK",thrilled with my new ipad air from apple best purchase ever bestvalue health discount curious about your experience too,0.02428,"['new', 'ipad', 'air']"
2024-05-03 08:57:48,Friday,"Tokyo, Japan",just saw an ad for samsung galaxy watch during the digitaltransformation highly recommend innovation discount,0.26195,"['samsung', 'galaxy', 'watch']"
2024-05-03 17:43:21,Friday,"Houston, USA",my two days review of toyota highlander not worth the money musthave limited let me know what you think,0.1659,"['day', 'review', 'highlander']"
2024-05-03 21:31:58,Friday,"Sydney, Australia",just saw an ad for pepsi pepsi wild cherry during the powerrelease worth every penny travel limited discount,0.08695,"['wild', 'cherry', 'pepsi']"
2024-05-03 21:59:48,Friday,"Lyon, France",thrilled with my new halo band from amazon wouldnt recommend fashion discount productlaunch really interested in hearing your thoughts,0.02918,"['new', 'halo', 'band']"
